"id","Kunta","Kuukausi","maakunta_id","Maakunta","Kuntien välinen nettomuutto","muutos"
"418","Lempäälä",2024-07-01,"06","Pirkanmaa","-2",-43
"475","Maalahti",2024-07-01,"15","Pohjanmaa","-8",-43
"755","Siuntio",2024-07-01,"01","Uusimaa","-23",-43
"236","Kaustinen",2024-07-01,"16","Keski-Pohjanmaa","3",-44
"581","Parkano",2024-07-01,"06","Pirkanmaa","-1",-44
"143","Ikaalinen",2024-07-01,"06","Pirkanmaa","0",-45
"738","Sauvo",2024-07-01,"02","Varsinais-Suomi","-6",-45
"176","Juuka",2024-07-01,"12","Pohjois-Karjala","1",-46
"481","Masku",2024-07-01,"02","Varsinais-Suomi","-14",-46
"635","Pälkäne",2024-07-01,"06","Pirkanmaa","-5",-46
"050","Eura",2024-07-01,"04","Satakunta","13",-47
"402","Lapinlahti",2024-07-01,"11","Pohjois-Savo","-1",-48
"436","Lumijoki",2024-07-01,"17","Pohjois-Pohjanmaa","-2",-49
"935","Virolahti",2024-07-01,"08","Kymenlaakso","-8",-51
"018","Askola",2024-07-01,"01","Uusimaa","8",-52
"410","Laukaa",2024-07-01,"13","Keski-Suomi","19",-52
"440","Luoto",2024-07-01,"15","Pohjanmaa","-11",-52
"508","Mänttä-Vilppula",2024-07-01,"06","Pirkanmaa","15",-52
"846","Teuva",2024-07-01,"14","Etelä-Pohjanmaa","-17",-53
"710","Raasepori",2024-07-01,"01","Uusimaa","4",-54
"545","Närpiö",2024-07-01,"15","Pohjanmaa","-8",-55
"398","Lahti",2024-07-01,"07","Päijät-Häme","14",-56
"241","Keminmaa",2024-07-01,"19","Lappi","-18",-57
"599","Pedersören kunta",2024-07-01,"15","Pohjanmaa","-10",-57
"563","Oulainen",2024-07-01,"17","Pohjois-Pohjanmaa","-13",-58
"086","Hausjärvi",2024-07-01,"05","Kanta-Häme","-23",-60
"271","Kokemäki",2024-07-01,"04","Satakunta","11",-60
"777","Suomussalmi",2024-07-01,"18","Kainuu","-8",-60
"851","Tornio",2024-07-01,"19","Lappi","-21",-62
"430","Loimaa",2024-07-01,"02","Varsinais-Suomi","-40",-63
"090","Heinävesi",2024-07-01,"12","Pohjois-Karjala","0",-68
"494","Muhos",2024-07-01,"17","Pohjois-Pohjanmaa","-5",-68
"309","Outokumpu",2024-07-01,"12","Pohjois-Karjala","-7",-68
"989","Ähtäri",2024-07-01,"14","Etelä-Pohjanmaa","1",-69
