"age","sex","category","population"
9,"Naiset","v2010",200
9,"Naiset","v2024",252
10,"Naiset","v1990",174
10,"Naiset","v2010",194
10,"Naiset","v2024",223
11,"Naiset","v1990",158
11,"Naiset","v2010",216
11,"Naiset","v2024",253
12,"Naiset","v1990",164
12,"Naiset","v2010",207
12,"Naiset","v2024",275
13,"Naiset","v1990",134
13,"Naiset","v2010",193
13,"Naiset","v2024",282
14,"Naiset","v1990",158
14,"Naiset","v2010",201
14,"Naiset","v2024",257
15,"Naiset","v1990",158
15,"Naiset","v2010",206
15,"Naiset","v2024",258
16,"Naiset","v1990",161
16,"Naiset","v2010",195
16,"Naiset","v2024",226
17,"Naiset","v1990",128
17,"Naiset","v2010",185
17,"Naiset","v2024",207
18,"Naiset","v1990",145
18,"Naiset","v2010",183
18,"Naiset","v2024",184
19,"Naiset","v1990",131
19,"Naiset","v2010",130
19,"Naiset","v2024",159
20,"Naiset","v1990",129
20,"Naiset","v2010",125
20,"Naiset","v2024",130
21,"Naiset","v1990",130
21,"Naiset","v2010",121
21,"Naiset","v2024",77
22,"Naiset","v1990",129
22,"Naiset","v2010",101
22,"Naiset","v2024",89
23,"Naiset","v1990",132
23,"Naiset","v2010",81
23,"Naiset","v2024",70
24,"Naiset","v1990",171
24,"Naiset","v2010",95
24,"Naiset","v2024",75
25,"Naiset","v1990",165
25,"Naiset","v2010",121
25,"Naiset","v2024",99
26,"Naiset","v1990",159
26,"Naiset","v2010",119
26,"Naiset","v2024",118
27,"Naiset","v1990",169
27,"Naiset","v2010",167
27,"Naiset","v2024",138
28,"Naiset","v1990",183
28,"Naiset","v2010",175
28,"Naiset","v2024",166
29,"Naiset","v1990",189
29,"Naiset","v2010",185
29,"Naiset","v2024",178
30,"Naiset","v1990",212
30,"Naiset","v2010",193
30,"Naiset","v2024",173
31,"Naiset","v1990",176
31,"Naiset","v2010",193
31,"Naiset","v2024",201
32,"Naiset","v1990",218
32,"Naiset","v2010",213
32,"Naiset","v2024",200
33,"Naiset","v1990",202
33,"Naiset","v2010",236
33,"Naiset","v2024",221
34,"Naiset","v1990",203
34,"Naiset","v2010",233
34,"Naiset","v2024",255
35,"Naiset","v1990",198
35,"Naiset","v2010",225
35,"Naiset","v2024",246
36,"Naiset","v1990",204
36,"Naiset","v2010",247
36,"Naiset","v2024",231
37,"Naiset","v1990",201
37,"Naiset","v2010",187
37,"Naiset","v2024",221
38,"Naiset","v1990",197
38,"Naiset","v2010",225
38,"Naiset","v2024",236
39,"Naiset","v1990",205
39,"Naiset","v2010",205
39,"Naiset","v2024",252
40,"Naiset","v1990",184
40,"Naiset","v2010",202
40,"Naiset","v2024",232
41,"Naiset","v1990",208
41,"Naiset","v2010",229
41,"Naiset","v2024",230
42,"Naiset","v1990",197
42,"Naiset","v2010",233
42,"Naiset","v2024",256
43,"Naiset","v1990",223
43,"Naiset","v2010",228
43,"Naiset","v2024",221
44,"Naiset","v1990",209
44,"Naiset","v2010",241
44,"Naiset","v2024",227
45,"Naiset","v1990",179
45,"Naiset","v2010",243
45,"Naiset","v2024",237
46,"Naiset","v1990",157
46,"Naiset","v2010",221
46,"Naiset","v2024",225
47,"Naiset","v1990",154
47,"Naiset","v2010",225
47,"Naiset","v2024",269
48,"Naiset","v1990",113
48,"Naiset","v2010",225
48,"Naiset","v2024",250
49,"Naiset","v1990",161
49,"Naiset","v2010",222
49,"Naiset","v2024",220
50,"Naiset","v1990",101
50,"Naiset","v2010",231
50,"Naiset","v2024",214
51,"Naiset","v1990",132
51,"Naiset","v2010",193
51,"Naiset","v2024",192
52,"Naiset","v1990",129
52,"Naiset","v2010",215
52,"Naiset","v2024",207
53,"Naiset","v1990",129
53,"Naiset","v2010",208
53,"Naiset","v2024",199
54,"Naiset","v1990",103
54,"Naiset","v2010",213
54,"Naiset","v2024",183
55,"Naiset","v1990",124
55,"Naiset","v2010",182
55,"Naiset","v2024",217
56,"Naiset","v1990",116
56,"Naiset","v2010",196
56,"Naiset","v2024",214
57,"Naiset","v1990",108
57,"Naiset","v2010",187
57,"Naiset","v2024",224
58,"Naiset","v1990",118
58,"Naiset","v2010",197
58,"Naiset","v2024",215
59,"Naiset","v1990",94
59,"Naiset","v2010",192
59,"Naiset","v2024",245
60,"Naiset","v1990",121
60,"Naiset","v2010",161
60,"Naiset","v2024",195
61,"Naiset","v1990",129
61,"Naiset","v2010",199
61,"Naiset","v2024",206
62,"Naiset","v1990",110
62,"Naiset","v2010",186
62,"Naiset","v2024",212
63,"Naiset","v1990",103
63,"Naiset","v2010",224
63,"Naiset","v2024",200
64,"Naiset","v1990",84
64,"Naiset","v2010",217
64,"Naiset","v2024",227
65,"Naiset","v1990",99
65,"Naiset","v2010",153
65,"Naiset","v2024",191
66,"Naiset","v1990",91
66,"Naiset","v2010",143
66,"Naiset","v2024",205
67,"Naiset","v1990",82
67,"Naiset","v2010",147
67,"Naiset","v2024",188
68,"Naiset","v1990",86
68,"Naiset","v2010",116
68,"Naiset","v2024",210
69,"Naiset","v1990",94
69,"Naiset","v2010",152
69,"Naiset","v2024",187
70,"Naiset","v1990",70
70,"Naiset","v2010",95
70,"Naiset","v2024",174
71,"Naiset","v1990",48
71,"Naiset","v2010",121
71,"Naiset","v2024",170
72,"Naiset","v1990",65
72,"Naiset","v2010",108
72,"Naiset","v2024",181
73,"Naiset","v1990",71
73,"Naiset","v2010",99
73,"Naiset","v2024",173
74,"Naiset","v1990",69
74,"Naiset","v2010",93
74,"Naiset","v2024",152
75,"Naiset","v1990",57
75,"Naiset","v2010",100
75,"Naiset","v2024",181
76,"Naiset","v1990",56
76,"Naiset","v2010",101
76,"Naiset","v2024",161
77,"Naiset","v1990",60
77,"Naiset","v2010",94
77,"Naiset","v2024",204
78,"Naiset","v1990",55
78,"Naiset","v2010",90
78,"Naiset","v2024",198
79,"Naiset","v1990",70
79,"Naiset","v2010",71
79,"Naiset","v2024",122
80,"Naiset","v1990",40
80,"Naiset","v2010",85
80,"Naiset","v2024",106
81,"Naiset","v1990",36
81,"Naiset","v2010",92
81,"Naiset","v2024",110
82,"Naiset","v1990",43
82,"Naiset","v2010",77
82,"Naiset","v2024",87
83,"Naiset","v1990",37
83,"Naiset","v2010",61
83,"Naiset","v2024",102
84,"Naiset","v1990",44
84,"Naiset","v2010",51
84,"Naiset","v2024",70
85,"Naiset","v1990",24
85,"Naiset","v2010",45
85,"Naiset","v2024",78
86,"Naiset","v1990",21
86,"Naiset","v2010",48
86,"Naiset","v2024",70
87,"Naiset","v1990",16
87,"Naiset","v2010",30
87,"Naiset","v2024",53
88,"Naiset","v1990",17
88,"Naiset","v2010",29
88,"Naiset","v2024",58
89,"Naiset","v1990",13
89,"Naiset","v2010",38
89,"Naiset","v2024",51
90,"Naiset","v1990",12
90,"Naiset","v2010",18
90,"Naiset","v2024",44
91,"Naiset","v1990",3
91,"Naiset","v2010",13
91,"Naiset","v2024",34
92,"Naiset","v1990",5
92,"Naiset","v2010",12
92,"Naiset","v2024",34
93,"Naiset","v1990",7
93,"Naiset","v2010",12
93,"Naiset","v2024",23
94,"Naiset","v1990",3
94,"Naiset","v2010",5
94,"Naiset","v2024",15
95,"Naiset","v1990",5
95,"Naiset","v2010",3
95,"Naiset","v2024",13
96,"Naiset","v1990",0
96,"Naiset","v2010",4
96,"Naiset","v2024",9
97,"Naiset","v1990",0
97,"Naiset","v2010",2
97,"Naiset","v2024",5
98,"Naiset","v1990",0
98,"Naiset","v2010",1
98,"Naiset","v2024",5
99,"Naiset","v1990",0
99,"Naiset","v2010",1
99,"Naiset","v2024",3
100,"Naiset","v1990",1
100,"Naiset","v2010",1
100,"Naiset","v2024",8
